event_id,room_id
E:D5IOE3EVAV,0226_00_GF.14
E:JELOTYI94V,0251_01_1.02
E:UZTHROVNNC,0001_01_1.265
E:JPN41G47R9,0210_-1_B.51
E:9GD1D6X6AO-00001,0639_-1_B.01
E:ERK93X2KC9,0226_-1_LG.19
E:4BSAVP83Q8,0226_01_1.07
E:MXKHS3XJDQ,0226_-1_LG.19
E:S7RL29I5UD,0335_02_2.2
E:VMVOTLEOD7,0201_00_G.05
E:2UGT1BG3HK,0226_-1_LG.19
E:NVBM4J7H96,0252_01_1.2
E:1TJIRZBZWJ,0103_03_3.D02
E:M9RBKCGYGR,0227_02_2.30
E:6E5SSQRMOQ,0335_03_3.1
E:X7PGPCL4RX,0201_02_2.07
E:DFMFFHBMLI,0201_00_G.05
E:FXLEOE44SU,0201_02_2.07
E:2UYQNP5EXH,0226_01_1.12
E:7QSKBQMW1L,0300_00_NG.02
E:WKEE42R592,0226_01_1.12
E:W831HKZUOC,0201_00_G.05
E:B65XY9STIU,0226_00_GF.14
E:SAVNSZ8CHL,0210_-1_B.51
E:XXNJO7CEHD,0226_01_1.12
E:FKNT5BCN6S,0219_00_G.02
E:G1SCURZTTV,0226_01_1.07
E:CWSZZMQ9EQ,0226_01_1.12
E:588NBH5L6U,0201_00_G.05
E:UO5JDWPJPF,0228_01_1.01
E:JANPI6NTLI,0201_00_G.05
E:N826VTZKXB,0003_01_1.04
E:JOUB7555HW,0226_-1_LG.14
E:ZRCSXQXWDM,0226_00_GF.14
E:RAD7HST47V,0226_01_1.07
E:IP4FLLNKA5,0226_-1_LG.10
E:RV6J6RK16I,0003_01_1.03
E:N3E7F4QURW-00001,0227_00_G.06
E:HT9QV2UIE3,0226_-1_LG.11
E:XW6X1TW8IQ,0226_01_1.12
E:O4T7BT9JA9,0616_02_02.02-E
E:5KIH6HSQ4S,0226_-1_LG.19
E:9FJEIZPENZ,0226_-1_LG.14
E:MGVBOQGWFP,0226_-1_LG.19
E:8Z355SAB1H,0226_00_GF.14
E:8KUEQJ5VRX,0226_01_1.12
E:IS78F6L5ZY,0131_04_4.07
E:6KRU79RDA1,0252_01_1.2
E:JXR9U9UMXG,0555_00_G.10
E:ZTCWDTMDDJ,0226_01_1.12
E:YM5KKR5O56,0254_01_1.12
E:PBN4HWXNCM,0252_01_1.2
E:LLUGMC74NW,0226_01_1.12
E:213A2XHFEF,0008_-1_B.154
E:RX3NIHR3CK,0226_01_1.07
E:PUKV4YAZX1,0226_01_1.12
E:9XRFIEIQBN,0226_-1_LG.19
E:R6JACKRMI5,0226_00_GF.14
E:YY8JHPSFFH,0201_00_G.05
E:FNUTTSUPRL,0252_01_1.2
E:PP6RHAZ1F6,0226_01_1.07
E:7DZ9S82N11,0335_02_2.2
E:1D226HFXRT,0131_04_4.07
E:PXORT1C7TH,0228_-1_LG.09
E:HRAACTQ8VI,0226_01_1.12
E:IXCH8D99CR,0214_01_1.01
E:ZSSL9KD3KY,0226_-1_LG.10
E:2SBN1VY6IS,0226_01_1.12
E:PIT23E93WU,0226_01_1.07
E:ETWCITTANS,0226_00_GF.14
E:KI2OSYRZUC,0003_01_1.04
E:ER94SJFIQK,0226_00_GF.14
E:WFA9Z8BEL6,0226_-1_LG.19
E:G5JFJK1ONZ,0226_01_1.07
E:64PXKYR1LE,0227_02_2.14
E:V5S71MO2UM,0210_-1_B.51
E:DK45W41IBF,0226_01_1.07
E:N5KKGYCEND,0254_01_1.10
E:11OAYP4QJA,0226_-1_LG.14
E:G8SCMJYVUP,0226_-1_LG.10
E:V4GBNL1SEE,0226_00_GF.14
E:VLM24PBAXP,0112_-1_B.06
E:XBW5KCSQVX,0226_00_GF.14
E:X2O9T9WPS9,0201_00_G.05
E:WYM6UXZOWJ,0616_02_02.02-E
E:BBMZKNGBBE,0252_01_1.2
E:ZDU3WYEVJP,0616_02_02.02-E
E:YDKY2LP84Z,0335_01_1.4
