event_id,baseline_day,timeslot,duration_minutes,event_type,module_code,room,n_students,reason
E:75DUESOT7N,Saturday,Saturday 00:30,1370,Fieldwork,EASC08034_SS1_SB45_2024/5,,30.0,non_teaching_day
E:75DUESOT7N-00001,Sunday,Sunday 00:30,1370,Fieldwork,EASC08034_SS1_SB45_2024/5,,30.0,non_teaching_day
E:7QMXBCWDYW,Saturday,Saturday 11:00,170,EXAM,CMSE11086_SV1_SEM1_2024/5,0229_01_1.A,23.0,non_teaching_day
E:7QMXBCWDYW-00001,Saturday,Saturday 11:00,170,EXAM,CMSE11086_SV1_SEM1_2024/5,0229_01_1.B,22.0,non_teaching_day
E:7QMXBCWDYW-00001-00001,Saturday,Saturday 11:00,170,EXAM,CMSE11086_SV1_SEM1_2024/5,0229_01_1.C,14.0,non_teaching_day
E:7WS69J2LLH,Sunday,Sunday 10:00,180,Activity,COL_SC_2024/5,0551_-1_LG48,,non_teaching_day
E:7WSHWRXATA,Saturday,Saturday 10:30,270,Activity,COL_SC_2024/5,0555_01_1.15,,non_teaching_day
E:8HDB2XOA3B,Sunday,Sunday 09:30,540,Activity,COL_L4A_2024/5,0551_00_G21,,non_teaching_day
E:8HDB2XOA3B-00001,Friday,Friday 14:00,590,Activity,COL_L4A_2024/5,0551_00_G21,,duration_exceeds_teaching_day
E:8HDB2XOA3B-00002,Saturday,Saturday 00:00,1410,Activity,COL_L4A_2024/5,0551_00_G21,,non_teaching_day
E:8HDB2XOA3B-00003,Sunday,Sunday 00:00,570,Activity,COL_L4A_2024/5,0551_00_G21,,non_teaching_day
E:8U8YK82HAM,Sunday,Sunday 09:30,540,Activity,COL_L4A_2024/5,0551_00_G36A,,non_teaching_day
E:ANFMNW8WLW,Thursday,Thursday 08:00,600,Workshop,MBCH11010_SS1_YR_2024/5,2701_01_FU222,,duration_exceeds_teaching_day
E:AQ7HT8I9YR,Tuesday,Tuesday 00:30,1370,Fieldwork,GEGR09026_SS1_SEM2_2024/5,,22.0,duration_exceeds_teaching_day
E:AQ7HT8I9YR-00001,Wednesday,Wednesday 00:30,1370,Fieldwork,GEGR09026_SS1_SEM2_2024/5,,22.0,duration_exceeds_teaching_day
E:AQ7HT8I9YR-00002,Thursday,Thursday 00:30,1370,Fieldwork,GEGR09026_SS1_SEM2_2024/5,,22.0,duration_exceeds_teaching_day
E:AQ7HT8I9YR-00003,Friday,Friday 00:30,1370,Fieldwork,GEGR09026_SS1_SEM2_2024/5,,22.0,duration_exceeds_teaching_day
E:AQ7HT8I9YR-00004,Saturday,Saturday 00:30,1370,Fieldwork,GEGR09026_SS1_SEM2_2024/5,,22.0,non_teaching_day
E:AQ7HT8I9YR-00005,Sunday,Sunday 00:30,1370,Fieldwork,GEGR09026_SS1_SEM2_2024/5,,22.0,non_teaching_day
E:BDKWPGM187,Sunday,Sunday 09:30,540,Activity,COL_L4A_2024/5,0551_00_G33,,non_teaching_day
E:C5OVI5I3IM,Tuesday,Tuesday 08:00,600,Workshop,MBCH11010_SS1_YR_2024/5,2701_00_GU318,,duration_exceeds_teaching_day
E:CH7A76LNES,Tuesday,Tuesday 08:00,600,Workshop,MBCH11010_SS1_YR_2024/5,2701_01_FU222,,duration_exceeds_teaching_day
E:DCMNT8DYHF-00003,Saturday,Saturday 10:00,180,Lecture,EDUA11353_SS1_YR_2024/5,0551_01_1.26,8.0,non_teaching_day
E:F8VJQYNJ9B,Sunday,Sunday 09:30,540,Activity,COL_L4A_2024/5,0551_00_G1,,non_teaching_day
E:F8VJQYNJ9B-00001,Friday,Friday 14:00,590,Activity,COL_L4A_2024/5,0551_00_G1,,duration_exceeds_teaching_day
E:F8VJQYNJ9B-00002,Saturday,Saturday 00:00,1410,Activity,COL_L4A_2024/5,0551_00_G1,,non_teaching_day
E:F8VJQYNJ9B-00003,Sunday,Sunday 00:00,570,Activity,COL_L4A_2024/5,0551_00_G1,,non_teaching_day
E:GLPKGQGHDE-00001,Friday,Friday 14:00,590,Activity,COL_L4A_2024/5,0555_00_G.1,,duration_exceeds_teaching_day
E:GLPKGQGHDE-00002,Saturday,Saturday 00:00,1410,Activity,COL_L4A_2024/5,0555_00_G.1,,non_teaching_day
E:GLPKGQGHDE-00003,Sunday,Sunday 00:00,570,Activity,COL_L4A_2024/5,0555_00_G.1,,non_teaching_day
