description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
Roslin G-022 (Auditorium),250.0,781,Roslin Institute,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0781_00_G.022,rooms_table
Roslin B-006 (Basement seminar room),42.0,781,Roslin Institute,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0781_-1_B.006,rooms_table
G.01 - Seminar Room,98.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_00_G.01,rooms_table
G.02 - Tutorial Room 1,24.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0728_00_G.02,rooms_table
G.02A - Tutorial Room 1A,24.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0728_00_G.02A,rooms_table
G.03 - Tutorial Room 2,30.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0728_00_G.03,rooms_table
G.03A - Tutorial Room 2A,30.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0728_00_G.03A,rooms_table
G.11 - Teaching Lab 1,60.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0728_00_G.11,rooms_table
G.12 - Teaching Lab 2,96.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0728_00_G.12,rooms_table
G.36 - Post-mortem Room,100.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0728_00_G.36,rooms_table
G.45 - Dissection Room,60.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0728_00_G.45,rooms_table
G.58 - Lecture Theatre 1,202.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_00_G.58,rooms_table
G.66 - Lecture Theatre 2,202.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_00_G.66,rooms_table
1.21 - Clinical Skills Laboratory,60.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0728_01_1.21,rooms_table
1.24 - Tutorial Room,20.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.24,rooms_table
1.25 - Tutorial Room,20.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.25,rooms_table
1.26 - Sim Debrief and Tutorial Room,20.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.26,rooms_table
1.27 - Tutorial Room,20.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.27,rooms_table
1.28 - Tutorial Room,32.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.28,rooms_table
"1.42 - Tutorial Room *within library, quiet please*",10.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.42,rooms_table
"1.43 - Tutorial Room *within library, quiet please*",10.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.43,rooms_table
"1.45 - Tutorial Room *within library, quiet please*",10.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.45,rooms_table
"1.46 - Tutorial Room *within library, quiet please*",10.0,728,Vet School,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0728_01_1.46,rooms_table
G.03 - Art Studio,25.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Art Studio,Yes,0558_00_G.03,rooms_table
G.06 - Art Studio,25.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Art Studio,Yes,0558_00_G.06,rooms_table
G.14 - Computer Lab,15.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0558_00_G.14,rooms_table
1.02,30.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Laboratory,Yes,0558_01_1.02,rooms_table
1.03,30.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Laboratory,Yes,0558_01_1.03,rooms_table
1.04,30.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Laboratory,Yes,0558_01_1.04,rooms_table
1.06 - Physics Lab,25.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Laboratory,Yes,0558_01_1.06,rooms_table
1.19 - Biology/Chemistry Lab,25.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Laboratory,Yes,0558_01_1.19,rooms_table
2.02,16.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0558_02_2.2,rooms_table
2.03,52.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_02_2.3,rooms_table
3.13,24.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_03_3.13,rooms_table
3.04,33.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_03_3.4,rooms_table
3.02,24.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0558_03_3.02,rooms_table
4.02,24.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_04_4.02,rooms_table
4.18,32.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_04_4.18,rooms_table
4.20,38.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_04_4.20,rooms_table
4.04,32.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_04_4.4,rooms_table
5.11,35.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_05_5.11,rooms_table
5.15,25.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Maths Studio,Yes,0558_05_5.15,rooms_table
5.02,48.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_05_5.2,rooms_table
5.03,25.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_05_5.3,rooms_table
5.04,25.0,558,Charteris Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0558_05_5.4,rooms_table
B.1 - Music Studio,20.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Music Studio,Yes,0558_-1_B.1,rooms_table
B.11,16.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Laboratory,Yes,0558_-1_B.11,rooms_table
B.4 - Music Studio,20.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Music Studio,Yes,0558_-1_B.4,rooms_table
B.9,16.0,558,Charteris Land,Holyrood,Locally Allocated Space,Specialist Room,Laboratory,Yes,0558_-1_B.9,rooms_table
B1.01,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.01,rooms_table
