description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
1.18,12.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_01_1.18,rooms_table
2.18,12.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_02_2.18,rooms_table
3.01,24.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_03_3.01,rooms_table
4.18,25.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_04_4.18,rooms_table
7.01,18.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_07_7.01,rooms_table
7.18,24.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_07_7.18,rooms_table
9.01,16.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_09_9.01,rooms_table
9.18,25.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_09_9.18,rooms_table
11.01,16.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_11_11.01,rooms_table
11.06,18.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_11_11.06,rooms_table
11.11,15.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_11_11.11,rooms_table
11.18,24.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_11_11.18,rooms_table
12.18,13.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_12_12.18,rooms_table
13.07,15.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_13_13.07,rooms_table
Lecture Theatre A,350.0,229,40 George Square Lecture Theatres,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0229_01_1.A,rooms_table
Lecture Theatre B,250.0,229,40 George Square Lecture Theatres,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0229_01_1.B,rooms_table
Lecture Theatre C,250.0,229,40 George Square Lecture Theatres,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0229_01_1.C,rooms_table
LG.06  (50 GS Opening Hours),35.0,222,40 George Square Lower Teaching Hub,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_-1_LG.06,rooms_table
LG.07 - Teaching Studio,60.0,222,40 George Square Lower Teaching Hub,Central,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0228_-1_LG.07,rooms_table
LG.08,36.0,222,40 George Square Lower Teaching Hub,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_-1_LG.08,rooms_table
LG.09,96.0,222,40 George Square Lower Teaching Hub,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0228_-1_LG.09,rooms_table
LG.10,36.0,222,40 George Square Lower Teaching Hub,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_-1_LG.10,rooms_table
LG.11,78.0,222,40 George Square Lower Teaching Hub,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_-1_LG.11,rooms_table
G.01,30.0,227,50 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0227_00_G.01,rooms_table
G.02,36.0,227,50 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0227_00_G.02,rooms_table
Lecture Theatre G.03,255.0,227,50 George Square,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0227_00_G.03,rooms_table
Screening Room G.04,100.0,227,50 George Square,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0227_00_G.04,rooms_table
G.05,44.0,227,50 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0227_00_G.05,rooms_table
G.06,64.0,227,50 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0227_00_G.06,rooms_table
1.02 Computer Lab 2,40.0,227,50 George Square,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0227_01_1.02,rooms_table
Project Room 1.06,60.0,227,50 George Square,Central,Locally Allocated Space,Specialist Room,Meeting Room,Yes,0227_01_1.06,rooms_table
2.03,18.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_02_2.03,rooms_table
2.13,10.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_02_2.13,rooms_table
2.14,15.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_02_2.14,rooms_table
2.29,15.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_02_2.29,rooms_table
2.30,10.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_02_2.30,rooms_table
2.39,18.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_02_2.39,rooms_table
2.54,18.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_02_2.54,rooms_table
3.03,18.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_03_3.03,rooms_table
3.13,10.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_03_3.13,rooms_table
3.14,15.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_03_3.14,rooms_table
3.29,15.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_03_3.29,rooms_table
3.30,10.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_03_3.30,rooms_table
3.39,18.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_03_3.39,rooms_table
3.54,18.0,227,50 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0227_03_3.54,rooms_table
F.21,125.0,209,7 George Square,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0209_01_1.21,rooms_table
S.1,70.0,209,7 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0209_02_2.01,rooms_table
S37,30.0,209,7 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0209_02_2.37,rooms_table
Lower Concourse,60.0,209,7 George Square,Central,Locally Allocated Space,Specialist Room,Foyer,Yes,0209_-1_B.Z28,rooms_table
G.01,20.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0003_00_G.01,rooms_table
G.02,24.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0003_00_G.02,rooms_table
G.03,18.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0003_00_G.03,rooms_table
G.04,12.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0003_00_G.04,rooms_table
1.01,23.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0003_01_1.01,rooms_table
1.02,24.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0003_01_1.02,rooms_table
1.03,24.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0003_01_1.03,rooms_table
1.04,19.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0003_01_1.04,rooms_table
1.05,12.0,3,7-8 Chambers Street,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0003_01_1.05,rooms_table
2.01 - PC Computer Lab,18.0,3,7-8 Chambers Street,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0003_02_2.01,rooms_table
2.04 (Studio),37.0,3,7-8 Chambers Street,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0003_02_2.04,rooms_table
3.01 (Studio),28.0,3,7-8 Chambers Street,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0003_03_3.01,rooms_table
3.02 (Studio),48.0,3,7-8 Chambers Street,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0003_03_3.02,rooms_table
G.01 (Studio),54.0,5,Adam House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0005_00_G.01,rooms_table
1.01 (Studio),65.0,5,Adam House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0005_01_1.01,rooms_table
2.01 (Studio),65.0,5,Adam House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0005_02_2.01,rooms_table
3.01 (Studio),59.0,5,Adam House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0005_03_3.01,rooms_table
Basement Theatre,164.0,5,Adam House,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0005_-1_B.01,rooms_table
Atrium (G.10),75.0,110,Alison House,Central,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0110_00_G.10,rooms_table
Lecture Room B2.01,25.0,110,Alison House,Central,Locally Allocated Space,Classroom Style,General Teaching,Yes,0110_02_2.01,rooms_table
Faculty Room 2.02,15.0,110,Alison House,Central,Locally Allocated Space,Boardroom Style,General Teaching,Yes,0110_02_2.02,rooms_table
Lecture Room A2.04,42.0,110,Alison House,Central,Locally Allocated Space,Classroom Style,General Teaching,Yes,0110_02_2.04,rooms_table
Seminar Room 2.07,12.0,110,Alison House,Central,Locally Allocated Space,Boardroom Style,General Teaching,Yes,0110_02_2.07,rooms_table
G.05,20.0,201,Appleton Tower,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0201_00_G.05,rooms_table
M1,20.0,201,Appleton Tower,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0201_01_1.01,rooms_table
M2 - Teaching Studio,96.0,201,Appleton Tower,Central,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0201_01_1.02,rooms_table
M3,20.0,201,Appleton Tower,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0201_01_1.05,rooms_table
2.04,24.0,201,Appleton Tower,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0201_02_2.04,rooms_table
2.05,24.0,201,Appleton Tower,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0201_02_2.05,rooms_table
2.06,18.0,201,Appleton Tower,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0201_02_2.06,rooms_table
2.07,20.0,201,Appleton Tower,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0201_02_2.07,rooms_table
2.11,28.0,201,Appleton Tower,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0201_02_2.11,rooms_table
2.12,54.0,201,Appleton Tower,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0201_02_2.12,rooms_table
2.14,54.0,201,Appleton Tower,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0201_02_2.14,rooms_table
3.01 - Robotics Lab,42.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0201_03_3.01,rooms_table
3.09 - Workroom,36.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0201_03_3.09,rooms_table
4.02 - PPLS Computer Lab,57.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0201_04_4.02,rooms_table
6.05,14.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_06_6.05,rooms_table
6.10,13.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_06_6.10,rooms_table
6.11,24.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_06_6.11,rooms_table
4.12,36.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0201_04_4.12,rooms_table
4.14,13.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,0201_04_4.14,rooms_table
4.14A,11.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,0201_04_4.14A,rooms_table
5.01,20.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,0201_05_5.01,rooms_table
5.04 - Teaching Studio,42.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0201_05_5.04,rooms_table
5.05 - West Lab,52.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0201_05_5.05,rooms_table
5.07 - Teaching Suite,15.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0201_05_5.07,rooms_table
6.06,102.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0201_06_6.06,rooms_table
7.01,20.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Laboratory,Yes,0201_07_7.01,rooms_table
7.02,14.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,0201_07_7.02,rooms_table
7.14,18.0,201,Appleton Tower,Central,Locally Allocated Space,Specialist Room,Meeting Room,Yes,0201_07_7.14,rooms_table
GF.14 - Auditorium,147.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_00_GF.14,rooms_table
Concourse,200.0,226,Business School,Central,Locally Allocated Space,Specialist Room,Concourse,Yes,0226_00_GF.Z16,rooms_table
MBA Suite,50.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_01_1.02,rooms_table
1.07 - Lecture Theatre 5,48.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_01_1.07,rooms_table
1.12 - Computer Teaching Lab,44.0,226,Business School,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0226_01_1.12,rooms_table
8.13,15.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_08_8.13,rooms_table
Conference Room and Roof Terrace,54.0,226,Business School,Central,Locally Allocated Space,Specialist Room,Concourse,Yes,0226_04_4.04,rooms_table
LG.10 - Lecture Theatre 4,72.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_-1_LG.10,rooms_table
LG.11 - Lecture Theatre 3,66.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_-1_LG.11,rooms_table
LG.14 - Lecture Theatre 1A,68.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_-1_LG.14,rooms_table
LG.18 - Lecture Theatre 2,66.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_-1_LG.18,rooms_table
LG.19 - Lecture Theatre 1B,70.0,226,Business School,Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0226_-1_LG.19,rooms_table
Seminar Room 1,55.0,112,Chrystal MacMillan Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0112_00_G.01,rooms_table
Seminar Room 2,55.0,112,Chrystal MacMillan Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0112_00_G.02,rooms_table
Meeting Room 2,12.0,112,Chrystal MacMillan Building,Central,Centrally Allocated Space,Boardroom Style,Meeting Room,Yes,0112_02_2.11,rooms_table
Meeting Room 4,12.0,112,Chrystal MacMillan Building,Central,Centrally Allocated Space,Boardroom Style,Meeting Room,Yes,0112_04_4.11,rooms_table
Seminar Room 5,35.0,112,Chrystal MacMillan Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0112_-1_B.01,rooms_table
Seminar Room 4,40.0,112,Chrystal MacMillan Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0112_-1_B.02,rooms_table
B.03,24.0,112,Chrystal MacMillan Building,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0112_-1_B.03,rooms_table
Seminar Room 6,25.0,112,Chrystal MacMillan Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0112_-1_B.06,rooms_table
1.01,12.0,283,Dugald Stewart Building,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0283_01_1.01,rooms_table
1.17,26.0,283,Dugald Stewart Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0283_01_1.17,rooms_table
1.20,46.0,283,Dugald Stewart Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0283_01_1.20,rooms_table
3.10,56.0,283,Dugald Stewart Building,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0283_03_3.10,rooms_table
The Pod,42.0,310,ECCI (Old High School),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0310_00_G.02,rooms_table
Training & Skills,90.0,310,ECCI (Old High School),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0310_00_G.06,rooms_table
The Atrium,100.0,310,ECCI (Old High School),Central,Locally Allocated Space,Specialist Room,Foyer,Yes,0310_00_G.Z02,rooms_table
6.14,12.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_06_6.14,rooms_table
1.40 | Hybrid teaching space,54.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_01_1.40,rooms_table
8.16,15.0,228,40 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0228_08_8.16,rooms_table
1.50 | Hybrid teaching space,54.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_01_1.50,rooms_table
1.52 | Hybrid teaching space,24.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_01_1.52,rooms_table
1.55 | Hybrid teaching space,48.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_01_1.55,rooms_table
1.60 | Hybrid teaching space,36.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_01_1.60,rooms_table
1.62 | Hybrid teaching space,12.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_01_1.62,rooms_table
1.63 | Hybrid teaching space,8.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_01_1.63,rooms_table
2.20/2.22/2.23 | Hybrid teaching space,54.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_02_2.20,rooms_table
11.10,36.0,228,40 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0228_11_11.10,rooms_table
2.35 | Hybrid teaching space,128.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Classroom Style,General Teaching,Yes,0450_02_2.35,rooms_table
2.55 | Flexible event/teaching space,68.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_02_2.55,rooms_table
2.63 | Hybrid teaching space,8.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_02_2.63,rooms_table
3.32 | Hybrid teaching space,12.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_03_3.32,rooms_table
3.35 | Hybrid teaching space,36.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_03_3.35,rooms_table
3.42 | Hybrid teaching space,8.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_03_3.42,rooms_table
3.43 | Hybrid teaching space,12.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_03_3.43,rooms_table
3.52 | Hybrid teaching space,24.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_03_3.52,rooms_table
3.62 | Hybrid teaching space,12.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_03_3.62,rooms_table
3.63 | Hybrid teaching space,8.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,General Teaching,Yes,0450_03_3.63,rooms_table
4.35 | Hybrid teaching space,30.0,450,Edinburgh Futures Institute (EFI),Central,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0450_04_4.35,rooms_table
1.B04,20.0,103,Forresthill,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0103_01_1.B04,rooms_table
1.B09,16.0,103,Forresthill,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0103_01_1.B09,rooms_table
1.B10,20.0,103,Forresthill,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0103_01_1.B10,rooms_table
1.B15,16.0,103,Forresthill,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0103_01_1.B15,rooms_table
1.B19,20.0,103,Forresthill,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0103_01_1.B19,rooms_table
3.D02,40.0,103,Forresthill,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0103_03_3.D02,rooms_table
1.26,40.0,311,Geography (Old Infirmary),Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0311_01_1.26,rooms_table
2.01,22.0,311,Geography (Old Infirmary),Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0311_02_2.01,rooms_table
2.02,60.0,311,Geography (Old Infirmary),Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0311_02_2.02,rooms_table
2.05 Ogilvie,31.0,311,Geography (Old Infirmary),Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0311_02_2.05,rooms_table
2.13,80.0,311,Geography (Old Infirmary),Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0311_02_2.13,rooms_table
4.08 Geddes,14.0,311,Geography (Old Infirmary),Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0311_04_4.08,rooms_table
4.09 Darwin,16.0,311,Geography (Old Infirmary),Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0311_04_4.09,rooms_table
Gordon Aikman Lecture Theatre,458.0,225,Gordon Aikman Lecture Theatre,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0225_02_2.201,rooms_table
G.01 - Classroom 1,36.0,300,High School Yards Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0300_00_NG.01,rooms_table
G.02 - Classroom 2,36.0,300,High School Yards Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0300_00_NG.02,rooms_table
G.03 - Classroom 3,16.0,300,High School Yards Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0300_00_NG.03,rooms_table
G.04 - Classroom 4,16.0,300,High School Yards Teaching Centre,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0300_00_NG.04,rooms_table
G.01 - Davidson Lecture Theatre,120.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0335_00_G.01,rooms_table
G.09,32.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_00_G.09,rooms_table
G.10,32.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_00_G.10,rooms_table
G.12,17.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0335_00_G.12,rooms_table
G.13,48.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_00_G.13,rooms_table
G.17,14.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0335_00_G.17,rooms_table
1.1,25.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_01_1.1,rooms_table
1.16 - Teaching Studio,42.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0335_01_1.16,rooms_table
1.2,44.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_01_1.2,rooms_table
1.3,30.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_01_1.3,rooms_table
1.4,16.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_01_1.4,rooms_table
1.9,32.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_01_1.9,rooms_table
2.1,25.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_02_2.1,rooms_table
2.14 - Teaching Studio,36.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0335_02_2.14,rooms_table
2.18,16.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0335_02_2.18,rooms_table
2.2,44.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_02_2.2,rooms_table
2.3,40.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_02_2.3,rooms_table
2.4,16.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_02_2.4,rooms_table
3.1,25.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_03_3.1,rooms_table
3.2,40.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_03_3.2,rooms_table
3.3,40.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_03_3.3,rooms_table
3.4,16.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0335_03_3.4,rooms_table
4.1,30.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_04_4.1,rooms_table
4.2,32.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_04_4.2,rooms_table
4.3,60.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_04_4.3,rooms_table
5.1,25.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_05_5.1,rooms_table
5.2,32.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_05_5.2,rooms_table
5.3,50.0,335,Lister Learning and Teaching Centre,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0335_05_5.3,rooms_table
G.03 - Doorway 6,50.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_00_G.03,rooms_table
G.07 Meadows Lecture Theatre - Doorway 4,170.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0113_00_G.07,rooms_table
