programme,scheduled_event_count,scenario
Biomedical and Health Applications of Data Science (BMedSci) (External Intercalation) (Year 1),4,S0
Biomedical and Health Applications of Data Science (BMedSci) (Internal Intercalation) (Year 3),15,S0
Biomedical and Health Applications of Data Science BSc (Hons) (Year 4),17,S0
Biotechnology (MSc) (Year 1),16,S0
Business Analytics (MSc) - 1 Year (Full-time) (Year 1),8,S0
Business Economics (PhD) (Year 2),2,S0
Business Management MA (Hons) (Year 1),50,S0
Business Management MA (Hons) (Year 2),123,S0
Business Management MA (Hons) (Year 3),104,S0
Business Management MA (Hons) (Year 4),71,S0
Business and Economics MA (Hons) (Year 1),34,S0
Business and Economics MA (Hons) (Year 2),45,S0
Business and Economics MA (Hons) (Year 3),15,S0
Business and Economics MA (Hons) (Year 4),55,S0
Business and Geography MA (Hons) (Year 3),22,S0
Business and Geography MA (Hons) (Year 4),24,S0
Business and Law MA (Hons) (Year 1),7,S0
Business and Law MA (Hons) (Year 2),37,S0
Business and Law MA (Hons) (Year 3),29,S0
Business and Law MA (Hons) (Year 4),17,S0
Business with Decision Analytics MA (Hons) (Year 2),19,S0
Business with Decision Analytics MA (Hons) (Year 3),20,S0
Business with Decision Analytics MA (Hons) (Year 4),30,S0
Business with Enterprise and Innovation MA (Hons) (Year 1),30,S0
Business with Enterprise and Innovation MA (Hons) (Year 2),39,S0
Business with Enterprise and Innovation MA (Hons) (Year 3),32,S0
Business with Enterprise and Innovation MA (Hons) (Year 4),29,S0
Business with Human Resource Management MA (Hons) (Year 1),11,S0
Business with Human Resource Management MA (Hons) (Year 2),14,S0
Business with Human Resource Management MA (Hons) (Year 3),29,S0
Business with Human Resource Management MA (Hons) (Year 4),24,S0
Business with Marketing MA (Hons) (Year 1),22,S0
Business with Marketing MA (Hons) (Year 2),56,S0
Business with Marketing MA (Hons) (Year 3),40,S0
Business with Marketing MA (Hons) (Year 4),32,S0
Business with Strategic Economics MA (Hons) (Year 1),18,S0
Business with Strategic Economics MA (Hons) (Year 2),24,S0
Business with Strategic Economics MA (Hons) (Year 3),13,S0
Business with Strategic Economics MA (Hons) (Year 4),9,S0
Cancer (Intercalated) (UoE Lead with Glasgow) (PhD) - 3 Years (Full-time) (Year 4),3,S0
Carbon Management (MSC) (Year 1),10,S0
Carbon Management (MSC) - 2 Years (Part-time) (Year 1),4,S0
Celtic (MA Hons) (Year 2),18,S0
Celtic (MA Hons) (Year 3),3,S0
Celtic (MA Hons) (Year 4),4,S0
Celtic Studies (MSc by Research) (Full-time) (Year 1),6,S0
Celtic and Archaeology (MA Hons) (Year 2),10,S0
Celtic and Archaeology (MA Hons) (Year 4),3,S0
Celtic and English Literature (MA Hons) (Year 1),17,S0
Celtic and English Literature (MA Hons) (Year 2),15,S0
Celtic and English Literature (MA Hons) (Year 3),3,S0
Celtic and French (MA Hons) (Year 4),9,S0
Celtic and Linguistics (MA Hons) (Year 2),13,S0
Celtic and Linguistics (MA Hons) (Year 3),7,S0
Celtic and Scottish History (MA Hons) (Year 1),11,S0
Celtic and Scottish History (MA Hons) (Year 3),4,S0
Chemical Engineering (BEng Hons) (Year 1),32,S0
Chemical Engineering (BEng Hons) (Year 2),53,S0
Chemical Engineering (BEng Hons) (Year 3),7,S0
Chemical Engineering (BEng Hons) (Year 4),16,S0
Chemical Engineering (MEng Hons) (Year 1),28,S0
Chemical Engineering (MEng Hons) (Year 2),48,S0
Chemical Engineering (MEng Hons) (Year 3),7,S0
Chemical Engineering (MEng Hons) (Year 4),16,S0
Chemical Engineering (MEng Hons) (Year 5),1,S0
Chemical Engineering Technology (BEng Hons) (Year 4),13,S0
Chemical Engineering Technology (MEng Hons) (Year 4),2,S0
Chemical Physics (BSc Hons) (Year 1),9,S0
Chemical Physics (BSc Hons) (Year 2),33,S0
Chemical Physics (BSc Hons) (Year 3),22,S0
Chemical Physics (BSc Hons) (Year 4),9,S0
Chemical Physics (MChemPhys) (Year 1),20,S0
Chemical Physics (MChemPhys) (Year 2),24,S0
Chemical Physics (MChemPhys) (Year 3),23,S0
Chemical Physics (MChemPhys) (Year 4),19,S0
Chemical Physics (MChemPhys) (Year 5),11,S0
Chemistry (BSc Hons) (Year 1),84,S0
Chemistry (BSc Hons) (Year 2),79,S0
Chemistry (BSc Hons) (Year 3),49,S0
Chemistry (BSc Hons) (Year 4),17,S0
Chemistry (MChem) (Year 1),72,S0
Chemistry (MChem) (Year 2),89,S0
Chemistry (MChem) (Year 3),38,S0
Chemistry (MChem) (Year 4),32,S0
Chemistry (MChem) (Year 5),3,S0
Childhood Practice (BA Ord) (Year 2),1,S0
Childhood Practice (BA Ord) (Year 3),4,S0
Childhood Practice (BA Ord) (Year 4),2,S0
Chinese (MA Hons) (Year 1),45,S0
Chinese (MA Hons) (Year 2),53,S0
Chinese (MA Hons) (Year 4),28,S0
Chinese (PhD) (Full-time) (Year 2),3,S0
Chinese (PhD) (Full-time) (Year 3),6,S0
Chinese and Economics MA (Hons) (Year 4),33,S0
Chinese and French (MA Hons) (Year 1),23,S0
Chinese and French (MA Hons) (Year 2),34,S0
Chinese and French (MA Hons) (Year 4),37,S0
Chinese and German (MA Hons) (Year 2),13,S0
Chinese and German (MA Hons) (Year 4),16,S0
Chinese and History (MA Hons) (Year 1),32,S0
Chinese and History (MA Hons) (Year 2),8,S0
Chinese and History (MA Hons) (Year 4),15,S0
Chinese and Linguistics (MA Hons) (Year 1),27,S0
Chinese and Linguistics (MA Hons) (Year 2),21,S0
Chinese and Linguistics (MA Hons) (Year 3),10,S0
Chinese and Linguistics (MA Hons) (Year 4),9,S0
Chinese and Russian (MA Hons) (Year 1),6,S0
Chinese and Russian (MA Hons) (Year 2),10,S0
Chinese and Russian (MA Hons) (Year 4),13,S0
Chinese and Spanish (MA Hons) (Year 1),23,S0
Chinese and Spanish (MA Hons) (Year 2),34,S0
Chinese and Spanish (MA Hons) (Year 4),32,S0
Circular Economy (Fusion On-Site) (Full time) (MSc) (Year 1),8,S0
Civil Engineering (BEng Hons) (Year 1),28,S0
Civil Engineering (BEng Hons) (Year 2),42,S0
Civil Engineering (BEng Hons) (Year 3),10,S0
Civil Engineering (BEng Hons) (Year 4),22,S0
Civil Engineering (MEng Hons) (Year 1),3,S0
Civil Engineering (MEng Hons) (Year 2),26,S0
Civil Engineering (MEng Hons) (Year 3),10,S0
Civil Engineering (MEng Hons) (Year 4),18,S0
Civil Engineering (MEng Hons) (Year 5),37,S0
Civil Engineering Technology (BEng Hons) (Year 4),5,S0
Classical Archaeology and Ancient History MA (Hons) (Year 1),20,S0
Classical Archaeology and Ancient History MA (Hons) (Year 2),25,S0
Classical Archaeology and Ancient History MA (Hons) (Year 3),28,S0
Classical Archaeology and Ancient History MA (Hons) (Year 4),23,S0
Classical Archaeology and Greek (MA Hons) (Year 1),10,S0
Classical Archaeology and Latin (MA Hons) (Year 1),15,S0
Classical Archaeology and Latin (MA Hons) (Year 4),6,S0
Classical Art and Archaeology (MSc) (Full-time) (Year 1),21,S0
Classical Art and Archaeology (MSc) (Part-time) (Year 1),2,S0
Classical Studies (MA Hons) (Year 1),47,S0
Classical Studies (MA Hons) (Year 2),72,S0
Classical Studies (MA Hons) (Year 3),34,S0
Classical Studies (MA Hons) (Year 4),17,S0
Classical and Middle East Studies (MA Hons) (Year 3),1,S0
Classical and Middle East Studies (MA Hons) (Year 4),7,S0
Classics (AHRC) (PhD) - 3.5 Years (Full-Time) (Year 1),8,S0
Classics (AHRC) (PhD) - 3.5 Years (Full-Time) (Year 2),7,S0
Classics (MA Hons) (Year 1),43,S0
Classics (MA Hons) (Year 2),48,S0
Classics (MA Hons) (Year 3),10,S0
Classics (MA Hons) (Year 4),12,S0
Classics (MSc) (Full-time) (Year 1),15,S0
Classics (MSc) (Part-time) (Year 1),4,S0
Classics (MSc) (Part-time) (Year 2),11,S0
Classics (PhD) (Full-time) (Year 1),8,S0
Classics (PhD) (Full-time) (Year 3),5,S0
Classics (PhD) (Full-time) (Year 6),3,S0
Classics and English Language (MA Hons) (Year 1),15,S0
Classics and English Language (MA Hons) (Year 4),4,S0
Classics and Linguistics (MA Hons) (Year 1),15,S0
Classics and Linguistics (MA Hons) (Year 2),8,S0
Climate Change Finance & Investment (MSc) - 1 Year (Full-Time) (Year 1),9,S0
Clinical Anatomy (MSc) - 1 Year (Full-Time) (Year 1),8,S0
Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),8,S0
Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,S0
Clinical Psychology (MSc by Research) (Full-time) (Year 1),2,S0
Clinical Psychology (MSc by Research) (Part-time) (Year 2),1,S0
Clinical Psychology (PhD) (Full-time) (Year 1),6,S0
Clinical Psychology (PhD) (Full-time) (Year 2),5,S0
Clinical Psychology (PhD) (Full-time) (Year 3),5,S0
Clinical Psychology (PhD) (Part-time) (Year 2),1,S0
Clinical Psychology - Full Time (ESRC) (PhD) (Year 2),1,S0
Cognitive Science (BSc Hons) (Year 1),1,S0
Cognitive Science (BSc Hons) (Year 2),42,S0
Cognitive Science (BSc Hons) (Year 3),30,S0
Cognitive Science (BSc Hons) (Year 4),28,S0
Cognitive Science (Humanities) (MA Hons) (Year 1),46,S0
Cognitive Science (Humanities) (MA Hons) (Year 2),65,S0
Cognitive Science (Humanities) (MA Hons) (Year 3),60,S0
Cognitive Science (Humanities) (MA Hons) (Year 4),38,S0
Cognitive Science (MSc) (Full-time) (Year 1),42,S0
Cognitive Science (MSc) (Full-time) (Year 3),5,S0
Collections and Curating Practices (MSc by Research) - 1 Year (Full-time) (Year 1),3,S0
Collections and Curating Practices (Part-time) (MSc by Research) (Year 2),1,S0
Commercial Law (LLM) (Full-time) (Year 1),8,S0
Comparative Education and International Development (CEID) (MSc) - 1 Year (Full-time) (Year 1),14,S0
Comparative Literature (MSc) (Full-time) (Year 1),14,S0
Comparative Public Policy (MSc) (Full-time) (Year 1),21,S0
Comparative and European Private Law (LLM) (Full-time) (Year 1),5,S0
Composition (MMus) (Full-time) (Year 1),13,S0
Computational Applied Mathematics (MSc) - 1 Year (Full-time) (Year 1),20,S0
Computational Mathematical Finance (MSc) (Full-time) (Year 1),16,S0
Computational Mathematical Finance (MSc) (Full-time) (Year 2),7,S0
Computational Mathematical Finance (MSc) (Part-time) (Year 1),6,S0
Computational Physics (BSc Hons) (Year 1),25,S0
Computational Physics (BSc Hons) (Year 2),54,S0
Computational Physics (BSc Hons) (Year 3),27,S0
Computational Physics (BSc Hons) (Year 4),17,S0
Computational Physics (MPhys) (Year 1),21,S0
Computational Physics (MPhys) (Year 2),34,S0
Computational Physics (MPhys) (Year 3),29,S0
Computational Physics (MPhys) (Year 4),30,S0
Computational Physics (MPhys) (Year 5),40,S0
Computer Science (BEng Hons) (Year 1),72,S0
Computer Science (BEng Hons) (Year 2),50,S0
Computer Science (BEng Hons) (Year 3),77,S0
Computer Science (BEng Hons) (Year 4),90,S0
Computer Science (BSc Hons) (Year 1),98,S0
Computer Science (BSc Hons) (Year 2),63,S0
Computer Science (BSc Hons) (Year 3),74,S0
Computer Science (BSc Hons) (Year 4),110,S0
Computer Science (MSc) (Full-time) (Year 1),93,S0
Computer Science (MSc) (Full-time) (Year 2),5,S0
Computer Science (MSc) (Full-time) (Year 3),5,S0
Computer Science and Management Science (BSc Hons) (Year 1),19,S0
Computer Science and Management Science (BSc Hons) (Year 2),29,S0
Computer Science and Management Science (BSc Hons) (Year 3),28,S0
Computer Science and Management Science (BSc Hons) (Year 4),20,S0
Computer Science and Mathematics (BSc Hons) (Year 1),71,S0
Computer Science and Mathematics (BSc Hons) (Year 2),64,S0
