programme,scheduled_event_count,scenario
Classical and Middle East Studies (MA Hons) (Year 4),7,S2
Classics (AHRC) (PhD) - 3.5 Years (Full-Time) (Year 1),8,S2
Classics (AHRC) (PhD) - 3.5 Years (Full-Time) (Year 2),7,S2
Classics (MA Hons) (Year 1),40,S2
Classics (MA Hons) (Year 2),43,S2
Classics (MA Hons) (Year 3),10,S2
Classics (MA Hons) (Year 4),12,S2
Classics (MSc) (Full-time) (Year 1),14,S2
Classics (MSc) (Part-time) (Year 1),4,S2
Classics (MSc) (Part-time) (Year 2),10,S2
Classics (PhD) (Full-time) (Year 1),8,S2
Classics (PhD) (Full-time) (Year 3),5,S2
Classics (PhD) (Full-time) (Year 6),3,S2
Classics and English Language (MA Hons) (Year 1),14,S2
Classics and English Language (MA Hons) (Year 4),3,S2
Classics and Linguistics (MA Hons) (Year 1),14,S2
Classics and Linguistics (MA Hons) (Year 2),8,S2
Climate Change Finance & Investment (MSc) - 1 Year (Full-Time) (Year 1),8,S2
Clinical Anatomy (MSc) - 1 Year (Full-Time) (Year 1),7,S2
Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),8,S2
Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,S2
Clinical Psychology (MSc by Research) (Full-time) (Year 1),2,S2
Clinical Psychology (MSc by Research) (Part-time) (Year 2),1,S2
Clinical Psychology (PhD) (Full-time) (Year 1),6,S2
Clinical Psychology (PhD) (Full-time) (Year 2),5,S2
Clinical Psychology (PhD) (Full-time) (Year 3),5,S2
Clinical Psychology (PhD) (Part-time) (Year 2),1,S2
Clinical Psychology - Full Time (ESRC) (PhD) (Year 2),1,S2
Cognitive Science (BSc Hons) (Year 1),1,S2
Cognitive Science (BSc Hons) (Year 2),40,S2
Cognitive Science (BSc Hons) (Year 3),27,S2
Cognitive Science (BSc Hons) (Year 4),26,S2
Cognitive Science (Humanities) (MA Hons) (Year 1),40,S2
Cognitive Science (Humanities) (MA Hons) (Year 2),62,S2
Cognitive Science (Humanities) (MA Hons) (Year 3),55,S2
Cognitive Science (Humanities) (MA Hons) (Year 4),34,S2
Cognitive Science (MSc) (Full-time) (Year 1),40,S2
Cognitive Science (MSc) (Full-time) (Year 3),5,S2
Collections and Curating Practices (MSc by Research) - 1 Year (Full-time) (Year 1),3,S2
Collections and Curating Practices (Part-time) (MSc by Research) (Year 2),1,S2
Commercial Law (LLM) (Full-time) (Year 1),7,S2
Comparative Education and International Development (CEID) (MSc) - 1 Year (Full-time) (Year 1),13,S2
Comparative Literature (MSc) (Full-time) (Year 1),14,S2
Comparative Public Policy (MSc) (Full-time) (Year 1),19,S2
Comparative and European Private Law (LLM) (Full-time) (Year 1),5,S2
Composition (MMus) (Full-time) (Year 1),10,S2
Computational Applied Mathematics (MSc) - 1 Year (Full-time) (Year 1),19,S2
Computational Mathematical Finance (MSc) (Full-time) (Year 1),16,S2
Computational Mathematical Finance (MSc) (Full-time) (Year 2),7,S2
Computational Mathematical Finance (MSc) (Part-time) (Year 1),6,S2
Computational Physics (BSc Hons) (Year 1),21,S2
Computational Physics (BSc Hons) (Year 2),48,S2
Computational Physics (BSc Hons) (Year 3),25,S2
Computational Physics (BSc Hons) (Year 4),16,S2
Computational Physics (MPhys) (Year 1),17,S2
Computational Physics (MPhys) (Year 2),35,S2
Computational Physics (MPhys) (Year 3),27,S2
Computational Physics (MPhys) (Year 4),28,S2
Computational Physics (MPhys) (Year 5),36,S2
Computer Science (BEng Hons) (Year 1),64,S2
Computer Science (BEng Hons) (Year 2),49,S2
Computer Science (BEng Hons) (Year 3),71,S2
Computer Science (BEng Hons) (Year 4),84,S2
Computer Science (BSc Hons) (Year 1),86,S2
Computer Science (BSc Hons) (Year 2),57,S2
Computer Science (BSc Hons) (Year 3),66,S2
Computer Science (BSc Hons) (Year 4),102,S2
Computer Science (MSc) (Full-time) (Year 1),87,S2
Computer Science (MSc) (Full-time) (Year 2),5,S2
Computer Science (MSc) (Full-time) (Year 3),5,S2
Computer Science and Management Science (BSc Hons) (Year 1),17,S2
Computer Science and Management Science (BSc Hons) (Year 2),28,S2
Computer Science and Management Science (BSc Hons) (Year 3),26,S2
Computer Science and Management Science (BSc Hons) (Year 4),19,S2
Computer Science and Mathematics (BSc Hons) (Year 1),63,S2
Computer Science and Mathematics (BSc Hons) (Year 2),62,S2
Computer Science and Mathematics (BSc Hons) (Year 3),44,S2
Computer Science and Mathematics (BSc Hons) (Year 4),80,S2
Computer Science and Physics (BSc Hons) (Year 1),22,S2
Computer Science and Physics (BSc Hons) (Year 2),34,S2
Computer Science and Physics (BSc Hons) (Year 3),35,S2
Computer Science and Physics (BSc Hons) (Year 4),10,S2
"Conflict, Security and Development (MSc) (Year 1)",5,S2
Contemporary Art Practice (MA (eca)) (Part-time) (Year 2),1,S2
Contemporary Art Practice (MA (eca)) (Year 1),2,S2
Contemporary Art Theory (MA (eca)) (Year 1),1,S2
Contemporary History (MSc) (Full-time) (Year 1),5,S2
Contemporary History (MSc) (Part-time) (Year 2),1,S2
Continuing Professional Development (Economics) (ICL)  - 1 Year (Year 1),3,S2
Corporate Law (LLM) (Full-time) (Year 1),6,S2
Counselling (Interpersonal Dialogue) (MCouns) (Full-time) - 2 years (Year 1),5,S2
Counselling (Interpersonal Dialogue) (MCouns) (Full-time) - 2 years (Year 2),4,S2
Counselling (MCouns) (Part-time) - 4 years (Year 1),27,S2
Counselling (MCouns) (Part-time) - 4 years (Year 2),2,S2
Counselling (MCouns) (Part-time) - 4 years (Year 3),5,S2
Counselling (MCouns) (Part-time) - 4 years (Year 4),2,S2
Counselling (MCouns) (Part-time) - 4 years (Year 5),1,S2
Counselling (PgDip) - 3 Years (Part-time) (Year 1),47,S2
Counselling (PgDip) - 3 Years (Part-time) (Year 2),22,S2
Counselling (PgDip) - 3 Years (Part-time) (Year 3),4,S2
Counselling (PgDip) - 3 Years (Part-time) (Year 4),2,S2
Counselling Studies (MSc) (Full-time) (Year 1),55,S2
Counselling Studies (PgCert) (Part-time) (Year 1),10,S2
Counselling Studies (PhD) (Full-time (Year 1),3,S2
Counselling Studies (PhD) (Full-time (Year 2),2,S2
Counselling Studies (PhD) (Part-time) (Year 1),1,S2
Creative Industries (MSc) - 1 Year (Full-time) (Year 1),22,S2
Creative Music Practice (PhD) (Full-time) (Year 1),1,S2
Creative Writing (MSc) (Full-time) (Year 1),10,S2
Creative Writing (PhD) (Full-time) (Year 1),1,S2
Creative Writing (PhD) (Full-time) (Year 2),1,S2
Criminal Law and Criminal Justice (LLM) (Full-time) (Year 1),3,S2
Criminology and Criminal Justice (ESRC track) (MSc) - 1 Year (Full-time) (Year 1),2,S2
Criminology and Criminal Justice (MSc) (Full-time) (Year 1),5,S2
Cultural Heritage Futures (MSc) (Fusion On-site) (Full-time) (Year 1),7,S2
"Cyber Security, Privacy and Trust (MSc) - 1 Year (Full-time) (Year 1)",19,S2
"Cyber Security, Privacy and Trust (MSc) - 1 Year (Full-time) (Year 2)",4,S2
Dance Science and Education (ICL) (MSc) - 2-6 Years (Year 5),2,S2
Dance Science and Education (MSc) (Full-time) (Year 1),20,S2
Data Science (MSc) (Full-time) (Year 1),71,S2
Data Science (MSc) (Full-time) (Year 2),4,S2
Data Science (MSc) (Part-time) - 2 Years (Year 2),5,S2
Data Science (MSc) (Part-time) - 3 Years (Year 1),6,S2
Data Science for Biology (MSc) (Year 1),9,S2
"Data Science, Technology and Innovation (ICL) (MSc) - 6 Years (Year 2)",1,S2
Data and Artificial Intelligence Ethics (Fusion On-Site)(Part-time) - 2 Years (MSc) (Year 1),2,S2
Data and Artificial Intelligence Ethics (Fusion On-site)(Full-time) - 1 Year (MSc) (Year 1),4,S2
Data and Artificial Intelligence Ethics (Fusion Online)(Full-time) - 1 Year (MSc) (Year 1),1,S2
Data and Artificial Intelligence Ethics (Fusion Online)(Part-time) - 9 Months (PGC) (Year 1),1,S2
"Data, Inequality and Society (MSc) (Fusion On-site) (Full-time) - 1 year (Year 1)",11,S2
"Data, Inequality and Society (MSc) (Fusion Online) (Part-time) - 2 years (Year 1)",4,S2
Design (AHRC) (PhD) - 3.5  Years (Full-Time) (Year 1),1,S2
Design Informatics (MA (eca)) (Year 1),8,S2
Design Informatics (MSc) (Full-time) (Year 1),11,S2
Design PhD - 3 Years (Full-Time) (Year 1),3,S2
Design PhD - 3 Years (Full-Time) (Year 2),1,S2
Design and Digital Media (MSc) (Full-time) (Year 1),5,S2
Design and Digital Media (MSc) (Part-time) (Year 2),1,S2
Design by Distance (PhD) - 6 Years (Part-time) (Year 2),1,S2
Design for Change (MA (ECA)) - 1 Year (Full-time) (Year 1),6,S2
Designing Responsible Natural Language Processing (PhD with Integrated Study) (Year 1),11,S2
"Development, Regeneration and Stem Cells (BMedSci Hons) (Year 3)",7,S2
Developmental Linguistics (MSc) (Full-time) (Year 1),7,S2
Developmental Science (MSc) - 1 Year (Full-time) (Year 1),6,S2
Digital Design and Manufacture (MSc) - 1 Year (Full-time) (Year 1),15,S2
Digital Media Design (Online Learning) (ICL) (MSc) (Part-time) (Year 2),4,S2
Digital Media Design (Online Learning) (ICL) (MSc) (Part-time) (Year 3),3,S2
Digital Media Design (Online Learning) (MSc) (Year 1),3,S2
Digital Sociology (MSc) - 1 Year (Full-Time) (Year 1),12,S2
Digital Sociology (MSc) - 2 Years (Part-Time) (Year 2),1,S2
Distance in Counselling Studies (PhD) - 3 Years (Full-time) (Year 1),1,S2
Distance in Counselling Studies (PhD) - 6 Years (Part-time) (Year 2),1,S2
Distance in Health in Social Science (PhD) - 3 Years (Full-time) (Year 1),1,S2
Distance in Health in Social Science (PhD) - 6 Years (Part-time) (Year 2),6,S2
Divinity (BD Hons) (Part-time) (Year 5),3,S2
Divinity (BD) (Honours) (Year 1),14,S2
Divinity (BD) (Honours) (Year 4),7,S2
Divinity (Online Learning) (PhD) - 6 Years (Part-Time) (Year 1),1,S2
Divinity (Online Learning) (PhD) - 6 Years (Part-Time) (Year 3),1,S2
Divinity MDiv(Hons) (Year 1),11,S2
Divinity MDiv(Hons) (Year 2),16,S2
Divinity MDiv(Hons) (Year 3),8,S2
Divinity and Classics (MA Hons) (Year 1),8,S2
Divinity and Classics (MA Hons) (Year 2),13,S2
Divinity and Classics (MA Hons) (Year 3),4,S2
Divinity and Classics (MA Hons) (Year 4),2,S2
Drug Discovery and Translational Biology (MSc) (Year 1),9,S2
Earth Observation and Geoinformation Management (MSc) (Full-time) (Year 1),13,S2
Earth Observation and Geoinformation Management (MSc) - 2 Years (Part-time) (Year 2),2,S2
Earth Science and Physical Geography (BSc Hons) - 4 Years (Full-time) (Year 1),25,S2
Earth Science and Physical Geography (BSc Hons) - 4 Years (Full-time) (Year 2),35,S2
Earth Science and Physical Geography (MEarthSci Hons) - 5 Years (Full-time) (Year 2),26,S2
Earth Sciences (BSc Hons) - 4 Years (Full-time) (Year 1),27,S2
Earth Sciences (BSc Hons) - 4 Years (Full-time) (Year 2),41,S2
Earth Sciences (MEarthSci Hons) - 5 Years (Full-time) (Year 1),10,S2
Earth Sciences (MEarthSci Hons) - 5 Years (Full-time) (Year 2),17,S2
East Asian Studies (MSc) (Year 1),12,S2
Ecological Economics (SAC) (MSc) (Full-time) (Year 1),10,S2
Ecological Economics (SAC) (MSc) (Part-time) - 2 years (Year 2),2,S2
Ecological and Environmental Sciences (BSc Hons) (Year 1),48,S2
Ecological and Environmental Sciences (BSc Hons) (Year 2),94,S2
Ecological and Environmental Sciences (BSc Hons) (Year 3),39,S2
Ecological and Environmental Sciences (BSc Hons) (Year 4),24,S2
Ecological and Environmental Sciences with Management (BSc Hons) (Year 1),16,S2
Ecological and Environmental Sciences with Management (BSc Hons) (Year 2),55,S2
Ecological and Environmental Sciences with Management (BSc Hons) (Year 3),28,S2
Ecological and Environmental Sciences with Management (BSc Hons) (Year 4),14,S2
"Ecology, Evolution and Biodiversity (MSc) - 1 Year (Full Time) (Year 1)",10,S2
Economic History (MA Hons) (Year 3),3,S2
Economic History (MA Hons) (Year 4),4,S2
Economic and Social History (PhD) (Full-time) (Year 1),1,S2
Economic and Social History (PhD) (Full-time) (Year 2),1,S2
Economics (Econometrics) (MSC) - 1 Year (Full-time) (Year 1),9,S2
Economics (Finance) (MSc) (Full-time) (Year 1),9,S2
Economics (MA Hons) (Year 1),112,S2
Economics (MA Hons) (Year 2),190,S2
Economics (MA Hons) (Year 3),73,S2
Economics (MA Hons) (Year 4),51,S2
Economics (MSc) (Full-time) (Year 1),9,S2
Economics (PhD with Integrated Study) - 4 Years (Full-Time) (Year 1),11,S2
Economics and Accounting (MA Hons) (Year 1),18,S2
Economics and Accounting (MA Hons) (Year 2),25,S2
Economics and Accounting (MA Hons) (Year 3),20,S2
Economics and Accounting (MA Hons) (Year 4),18,S2
Economics and Mathematics (MA Hons) (Year 1),29,S2
Economics and Mathematics (MA Hons) (Year 2),44,S2
Economics and Mathematics (MA Hons) (Year 3),24,S2
Economics and Mathematics (MA Hons) (Year 4),52,S2
Economics and Politics (MA Hons) (Year 1),42,S2
Economics and Politics (MA Hons) (Year 2),38,S2
Economics and Politics (MA Hons) (Year 3),42,S2
Economics and Politics (MA Hons) (Year 4),61,S2
Economics and Sociology (MA Hons) (Year 3),11,S2
Economics and Sociology (MA Hons) (Year 4),6,S2
Economics and Statistics (MA Hons) (Year 1),21,S2
Economics and Statistics (MA Hons) (Year 2),25,S2
Economics and Statistics (MA Hons) (Year 3),20,S2
Economics and Statistics (MA Hons) (Year 4),28,S2
Economics with Environmental Studies (MA Hons) (Year 3),18,S2
Economics with Environmental Studies (MA Hons) (Year 4),27,S2
Economics with Finance (MA Hons) (Year 1),61,S2
Economics with Finance (MA Hons) (Year 2),90,S2
Economics with Finance (MA Hons) (Year 3),47,S2
Economics with Finance (MA Hons) (Year 4),59,S2
Economics with Management Science (MA Hons) (Year 1),27,S2
Economics with Management Science (MA Hons) (Year 2),39,S2
Economics with Management Science (MA Hons) (Year 3),24,S2
Economics with Management Science (MA Hons) (Year 4),39,S2
Education (Child and Adolescent Psychology) (MSc) - 1 Year (Full-time) (Year 1),13,S2
Education (ESRC) (PhD) (Year 2),1,S2
Education (Early Childhood Practice and Froebel) (MSc) - 1 Year (Full-time) (Year 1),14,S2
Education (Early Childhood Practice and Froebel) (MSc) - 2 Years (Part-time) (Year 1),3,S2
Education (Early Childhood Practice and Froebel) (MSc) - 3 Years (Part-time) (Year 2),2,S2
Education (MSc) (Full-time) (Year 1),25,S2
Education (MSc) (Full-time) (Year 2),1,S2
Education (PhD) (Full-time) (Year 1),17,S2
Education (PhD) (Full-time) (Year 2),6,S2
Education (PhD) (Full-time) (Year 3),2,S2
Education (PhD) (Full-time) (Year 4),7,S2
Education (PhD) (Part-time) - 6 Years (Year 2),1,S2
Education (PhD) (Part-time) - 6 Years (Year 5),1,S2
Education (Philosophy of Education) (MSc) - 1 Year (Year 1),12,S2
Education (Research) (MSc) - 1 Year (Full-time) (Year 1),9,S2
Education Futures (MSc) (Fusion On-site) (Full-time) - 1 Year (Year 1),4,S2
Education Studies (BA Ord) (Full-time) (Year 3),5,S2
Education Studies (MA Hons) (Year 3),24,S2
Education Studies (MA Hons) (Year 4),16,S2
Electrical Power Engineering (MSc) - 1 Year (Full-time) (Year 1),10,S2
Electrical and Mechanical Engineering (BEng Hons) (Year 1),32,S2
Electrical and Mechanical Engineering (BEng Hons) (Year 2),29,S2
Electrical and Mechanical Engineering (BEng Hons) (Year 3),11,S2
Electrical and Mechanical Engineering (BEng Hons) (Year 4),18,S2
Electrical and Mechanical Engineering (MEng Hons) (Year 1),19,S2
Electrical and Mechanical Engineering (MEng Hons) (Year 2),28,S2
Electrical and Mechanical Engineering (MEng Hons) (Year 3),10,S2
Electrical and Mechanical Engineering (MEng Hons) (Year 4),25,S2
Electrical and Mechanical Engineering (MEng Hons) (Year 5),24,S2
Electrical and Mechanical Engineering Technology (BEng Hons) (Year 4),10,S2
Electronics (MSc) (Year 1),9,S2
Electronics and Computer Science (BEng Hons) (Year 1),25,S2
Electronics and Computer Science (BEng Hons) (Year 2),35,S2
Electronics and Computer Science (BEng Hons) (Year 3),43,S2
Electronics and Computer Science (BEng Hons) (Year 4),74,S2
Electronics and Computer Science (MEng Hons) (Year 1),26,S2
Electronics and Computer Science (MEng Hons) (Year 2),31,S2
Electronics and Computer Science (MEng Hons) (Year 3),30,S2
Electronics and Computer Science (MEng Hons) (Year 4),57,S2
Electronics and Computer Science (MEng Hons) (Year 5),26,S2
Electronics and Electrical Engineering (BEng Hons) (Year 1),62,S2
Electronics and Electrical Engineering (BEng Hons) (Year 2),69,S2
Electronics and Electrical Engineering (BEng Hons) (Year 3),12,S2
Electronics and Electrical Engineering (BEng Hons) (Year 4),25,S2
Electronics and Electrical Engineering (MEng Hons) (Year 1),8,S2
Electronics and Electrical Engineering (MEng Hons) (Year 2),57,S2
Electronics and Electrical Engineering (MEng Hons) (Year 3),9,S2
Electronics and Electrical Engineering (MEng Hons) (Year 4),31,S2
Electronics and Electrical Engineering Technology (BEng Hons) (Year 4),9,S2
"Energy, Society and Sustainability (MSc) - 1 Year (Full-time) (Year 1)",18,S2
"Energy, Society and Sustainability (MSc) - 2 Years (Part-time) (Year 2)",6,S2
Engineering (PhD) - 3 Years (Full-time) (Year 1),2,S2
Engineering (PhD) - 3 Years (Full-time) (Year 2),1,S2
English Language (MA Hons) (Year 1),17,S2
English Language (MA Hons) (Year 2),37,S2
English Language (MA Hons) (Year 3),18,S2
English Language (MA Hons) (Year 4),7,S2
English Language (MSc) (Part-time) (Year 2),2,S2
English Language and Literature (MA Hons) (Year 1),63,S2
English Language and Literature (MA Hons) (Year 2),58,S2
English Language and Literature (MA Hons) (Year 3),26,S2
English Language and Literature (MA Hons) (Year 4),25,S2
English Literature (MA Hons) (Year 1),217,S2
English Literature (MA Hons) (Year 2),278,S2
English Literature (MA Hons) (Year 3),37,S2
English Literature (MA Hons) (Year 4),39,S2
English Literature (PhD) (Full-time) (Year 2),1,S2
English Literature (PhD) (Full-time) (Year 3),1,S2
English Literature I (MSc by Research) (Full-time) (Year 1),2,S2
English Literature and Classics (MA Hons) (Year 1),30,S2
English Literature and Classics (MA Hons) (Year 2),55,S2
English Literature and Classics (MA Hons) (Year 3),29,S2
English Literature and Classics (MA Hons) (Year 4),19,S2
English Literature and History (MA Hons) (Year 1),45,S2
English Literature and History (MA Hons) (Year 2),66,S2
English Literature and History (MA Hons) (Year 3),27,S2
English Literature and History (MA Hons) (Year 4),29,S2
English and Scottish Literature (MA Hons) (Year 1),17,S2
English and Scottish Literature (MA Hons) (Year 2),25,S2
English and Scottish Literature (MA Hons) (Year 3),7,S2
English and Scottish Literature (MA Hons) (Year 4),10,S2
Entrepreneurship and Innovation (MSc) (Year 1),7,S2
Environment and Development (MSc) (Full-time) (Year 1),9,S2
Environment and Development (MSc) (Part-time) - 2 Years (Year 1),2,S2
Environment and Development (MSc) (Part-time) - 2 Years (Year 2),1,S2
"Environment, Culture and Society (MSc) (Full-time) (Year 1)",16,S2
"Environment, Culture and Society (MSc) (Part-time) - 2 Years (Year 2)",4,S2
Environmental Geoscience (BSc Hons) (Year 3),23,S2
Environmental Geoscience (BSc Hons) (Year 4),14,S2
Environmental Geoscience (BSc Hons) - 4 Years (Full-time) (Year 1),22,S2
Environmental Geoscience (BSc Hons) - 4 Years (Full-time) (Year 2),12,S2
Environmental Protection and Management (SAC) (MSc) (Part-time) - 2 Years (Year 2),1,S2
Environmental Protection and Management (SAC) (MSc) - 1 Year (Full-time) (Year 1),9,S2
Environmental Sustainability (MSc) (Full-time) (Year 1),9,S2
Environmental Sustainability (MSc) (Part-time) - 2 Years (Year 1),5,S2
Environmental Sustainability (MSc) (Part-time) - 2 Years (Year 2),1,S2
European Law (LLM) (Full-time) (Year 1),5,S2
Evolution of Language and Cognition (MSc) (Full-time) (Year 1),5,S2
Evolution of Language and Cognition (MSc) (Part-time) (Year 1),4,S2
Evolutionary Genetics (MSc) (Full-time) (Year 4),9,S2
Fashion (BA Hons) (Year 1),12,S2
Fashion (BA Hons) (Year 2),16,S2
Fashion (BA Hons) (Year 3),13,S2
Fashion (BA Hons) (Year 4),13,S2
Film Directing (MA (eca)) (Year 1),6,S2
Film Studies (MSc) (Full-time) (Year 1),16,S2
Film Studies (MSc) (Part-time) (Year 1),5,S2
Film and Television (BA Hons) (Year 1),11,S2
Film and Television (BA Hons) (Year 2),54,S2
Film and Television (BA Hons) (Year 3),7,S2
Film and Television (BA Hons) (Year 4),6,S2
"Film, Exhibition and Curation (MSc) (Full-time) (Year 1)",19,S2
"Film, Exhibition and Curation (MSc) (Part-time) (Year 1)",1,S2
Finance (MSc) - 1 Year (Full-time) (Year 1),7,S2
Finance (PhD with Integrated Study) (Year 1),4,S2
Finance (PhD) - 3 Years (Full-time) (Year 1),2,S2
Finance and Business MA (Hons) (Year 1),48,S2
Finance and Business MA (Hons) (Year 2),63,S2
Finance and Business MA (Hons) (Year 3),49,S2
Finance and Business MA (Hons) (Year 4),43,S2
"Finance, Technology and Policy (MSc) - 1 Year (Full-time) (Year 1)",8,S2
Financial Modelling and Optimization (MSc) (Full-time) (Year 1),22,S2
Financial Modelling and Optimization (MSc) (Part-time) (Year 2),6,S2
Financial Technology (PhD) - 3 Years (Full-Time) (Year 1),14,S2
Fine Art (BA Hons) - 4 Years (Full-time) (Year 1),45,S2
Fine Art (BA Hons) - 4 Years (Full-time) (Year 2),67,S2
Fine Art (MA Hons) (Year 1),11,S2
Fine Art (MA Hons) (Year 2),29,S2
Fine Art (MA Hons) (Year 3),20,S2
Fine Art (MA Hons) (Year 4),10,S2
Fine Art (MA Hons) (Year 5),4,S2
Fire Engineering Science (Year 1),7,S2
Fire Engineering Science (Year 2),7,S2
Food Security (SAC) (MSc) (Full-time) (Year 1),2,S2
French (MA Hons) (Year 1),22,S2
French (MA Hons) (Year 2),73,S2
French (MA Hons) (Year 4),28,S2
French and Business MA (Hons) (Year 2),28,S2
French and Business MA (Hons) (Year 4),27,S2
French and Classics (MA Hons) (Year 1),20,S2
French and Classics (MA Hons) (Year 2),21,S2
French and Classics (MA Hons) (Year 4),22,S2
French and English Language (MA Hons) (Year 1),14,S2
French and English Language (MA Hons) (Year 4),8,S2
French and English Literature (MA Hons) (Year 1),46,S2
French and English Literature (MA Hons) (Year 2),36,S2
French and English Literature (MA Hons) (Year 4),50,S2
French and German (MA Hons) (Year 1),27,S2
French and German (MA Hons) (Year 2),22,S2
French and German (MA Hons) (Year 4),31,S2
French and History (MA Hons) (Year 1),46,S2
French and History (MA Hons) (Year 2),44,S2
French and History (MA Hons) (Year 4),28,S2
French and History of Art (MA Hons) (Year 1),7,S2
French and History of Art (MA Hons) (Year 2),21,S2
French and History of Art (MA Hons) (Year 3),1,S2
French and History of Art (MA Hons) (Year 4),19,S2
French and Italian (MA Hons) (Year 1),12,S2
French and Italian (MA Hons) (Year 2),16,S2
French and Italian (MA Hons) (Year 4),23,S2
French and Linguistics (MA Hons) (Year 1),15,S2
French and Linguistics (MA Hons) (Year 2),18,S2
French and Linguistics (MA Hons) (Year 4),34,S2
French and Philosophy (MA Hons) (Year 1),19,S2
French and Philosophy (MA Hons) (Year 2),20,S2
French and Philosophy (MA Hons) (Year 4),17,S2
French and Politics (MA Hons) (Year 1),23,S2
French and Politics (MA Hons) (Year 2),73,S2
French and Politics (MA Hons) (Year 4),40,S2
French and Portuguese (MA Hons) (Year 2),12,S2
French and Portuguese (MA Hons) (Year 4),8,S2
French and Russian Studies (MA Hons) (Year 1),29,S2
French and Russian Studies (MA Hons) (Year 2),19,S2
French and Russian Studies (MA Hons) (Year 4),23,S2
French and Scandinavian Studies (MA Hons) (Year 1),10,S2
French and Scandinavian Studies (MA Hons) (Year 2),13,S2
French and Scandinavian Studies (MA Hons) (Year 4),8,S2
French and Social Policy (MA Hons) (Year 1),8,S2
French and Social Policy (MA Hons) (Year 4),10,S2
French and Spanish (MA Hons) (Year 1),64,S2
French and Spanish (MA Hons) (Year 2),91,S2
French and Spanish (MA Hons) (Year 4),57,S2
Full Year Courses for Visiting Students (CAHSS) Southern Hemisphere (Year 1),25,S2
Full Year Courses for Visiting Students BIO (Year 1),14,S2
Full Year Courses for Visiting Students ENG (Year 1),17,S2
Full Year Courses for Visiting Students INF (Year 1),11,S2
Full Year Courses for Visiting Students MAT (Year 1),9,S2
Full Year Courses for Visiting Students PHY (Year 1),10,S2
Future Governance (MSc) (Fusion On-site) (Full-time) - 1 year (Year 1),3,S2
Future Governance (PG Cert) (Fusion On-site) (Part-time) - 9 months (Year 1),2,S2
"Future Infrastructure, Climate Change and Sustainability (MSc) (Fusion On-site) (Full-time) (Year 1)",9,S2
"Future Infrastructure, Climate Change and Sustainability (MSc) (Fusion On-site) (Part-time) - 2 years (Year 1)",3,S2
General Engineering (Year 1 only) (Year 1),42,S2
Genetics and Genomics (MScR) - 1 Year (Full-time) (Year 1),8,S2
GeoSciences (Individual Project) (MSc by Research) (Full-time) (Year 1),1,S2
Geoenergy (MSc) - 1 Year (Full-Time) (Year 1),19,S2
Geographical Information Science (MSc) (Full-time) (Year 1),17,S2
Geographical Information Science (MSc) (Part-time) - 2 Years (Year 1),9,S2
Geography (BSc Hons) (Year 1),57,S2
Geography (BSc Hons) (Year 2),62,S2
Geography (BSc Hons) (Year 3),21,S2
Geography (BSc Hons) (Year 4),16,S2
Geography (MA Hons) (Year 1),97,S2
Geography (MA Hons) (Year 2),167,S2
Geography (MA Hons) (Year 3),24,S2
Geography (MA Hons) (Year 4),15,S2
Geography (PhD) (Full-time) (Year 1),4,S2
Geography and Archaeology (MA Hons) (Year 3),9,S2
Geography and Archaeology (MA Hons) (Year 4),1,S2
Geography and Economics (MA Hons) (Year 3),20,S2
Geography and Economics (MA Hons) (Year 4),10,S2
Geography and Politics (MA Hons) (Year 3),21,S2
Geography and Politics (MA Hons) (Year 4),15,S2
Geography and Social Anthropology (MA Hons) (Year 3),19,S2
Geography and Social Anthropology (MA Hons) (Year 4),11,S2
Geography and Social Policy (MA Hons) (Year 3),11,S2
Geography and Social Policy (MA Hons) (Year 4),6,S2
Geography and Sociology (MA Hons) (Year 3),19,S2
Geography and Sociology (MA Hons) (Year 4),18,S2
Geology (BSc Hons) (Year 2),12,S2
Geology (BSc Hons) (Year 3),17,S2
Geology (BSc Hons) (Year 4),22,S2
Geology (MEarthSci) (Year 3),17,S2
Geology (MEarthSci) (Year 4),4,S2
Geology (MEarthSci) (Year 5),6,S2
Geology and Geophysics (PhD) (Full-time) (Year 1),1,S2
Geology and Geophysics (PhD) (Full-time) (Year 2),1,S2
Geology and Physical Geography (BSc Hons) (Year 1),2,S2
Geology and Physical Geography (BSc Hons) (Year 3),10,S2
Geology and Physical Geography (BSc Hons) (Year 4),23,S2
Geology and Physical Geography (MEarthSci) (Year 3),18,S2
Geology and Physical Geography (MEarthSci) (Year 4),13,S2
Geology and Physical Geography (MEarthSci) (Year 5),6,S2
Geophysics (BSc Hons) (Year 1),11,S2
Geophysics (BSc Hons) (Year 2),12,S2
Geophysics (BSc Hons) (Year 3),13,S2
Geophysics (BSc Hons) (Year 4),10,S2
Geophysics (MEarthPhys) (Year 1),7,S2
Geophysics (MEarthPhys) (Year 3),13,S2
Geophysics (MEarthPhys) (Year 5),5,S2
Geophysics and Geology (BSc Hons) - 4 Years (Full-time) (Year 1),7,S2
Geophysics and Geology (BSc Hons) - 4 Years (Full-time) (Year 2),9,S2
Geophysics and Geology (MEarthPhys Hons) - 5 Years (Full-time) (Year 1),5,S2
Geophysics and Geology (MEarthPhys) (Year 5),5,S2
Geophysics and Geology with Professional Placement (MEarthPhys Hons) - 5 Years (Full-time) (Year 1),4,S2
